Location,Classification,Type,OS:,Model #,Service Tag,Warranty Satus,Purchase Date,Mfg. Date,UTT Tag,Computer Name,Notes,Notes2
RBN3047,,,(CT Storage Room),Dell Inspiron 2200,FHVVS81,,,,Black: 15537 White: 015537,L-RBN3047-CONFE,L-RBN3047-CONFE,
ARC141,220,Class,MacOS High Sierra Version 10.13.6 ,"21.5"", Late 2013 iMac",C02MLMWQF8J2,Warranty Expired ,,,Black: 22705 White: 022980,M-CL-ARC141,iMac furninshed by Art Dept.,
RBS1019,RL,RL,No PC,PC not provided,PC not provided,PC not provided,PC not provided,PC not provided,PC not provided,PC not provided,PC not provided,
CAS210,110,Class,None,HP EliteDesk 800G1 SFF,MXL551117K,End Date: 1/12/2019,5/25/2011,,Black: 24589 White: 025238 ,CL-CAS210-HP,,
CAS258,110,Class,None,HP EliteDesk 800G1 SFF,MXL551117M,End Date: 1/12/2019,,,Black: 24592 White: 025241,CL-CAS258-HP,,
CAS259,110,Class,None,HP EliteDesk 800G1 SFF,MXL551117D,End Date: 1/12/2019,5/25/2011,,Black: 24593 White: 025242,CL-CAS259-HP,,
CAS260,110,Class,None,HP EliteDesk 800G1 SFF,MXL4340C86,Warranty Expired ,5/25/2011,,Black: 23015,CL-CAS260-HPX,,
BEP224,110,Class,PC not provided,HP EliteDesk 800G1 SFF,MXL4340C91,Warranty Expired ,,,Black: 23036 White: 023163,BEP224-SCAN2,,
HPR132,110,Class,PC not provided,,,,,,,,,
HPR145,250,Class,PC not provided,,,,,,,,,
HPR146,250,Class,PC not provided,,,,,,,,,
HPR261,210,Lab,PC not provided,,,,,,Black Only: 23043,CL-HPR261-HP,,
LIB401,410,,PC not provided,,,,,,,,,
RBN1034,220,Lab,PC not provided,,,,,,,,,
RBN3032,110,RL,PC not provided,,,,,,,,,
BRB2040,210,Lab,Verify,,DKNLRD1,,,,Verify,CL-BRB2040,Verify,
STE301,110,Conf,Verify,HP EliteDesk 800G1 SFF,Verify S/N,,,,Black Only: 23044,CL-STE301-HP,,
HPC3055,110,Class,Win10(x64) Version 1703 (OS Build 15063.1088),HP EliteDesk 800G1 SFF,MXL4340C88,Warranty Expired ,,,Black: Only: 23039,CL-HPC3055-HP,,
BRB2405,210,Lab,Win10(x64) Version 1709 (OS Build 16299.1087)  ,Dell Optiplex 7020,H27SD22,,,,White Only: 27046,CL-BRB2405,,
BRB2410,210,Lab,Win10(x64) Version 1709 (OS Build 16299.1087)  ,Dell Optiplex 7020,G75XD22,,,,White Only: 27047 ,CL-BRB2410,,
FAC1222 ,110,CR,Win10(x64) Version 1709 (OS Build 16299.371),HP EliteDesk 800 G1 SFF,MXL4340C8K ,,,,Black: 23034 White: 027328,CL-FAC1222-HP,Last Reimaged: INC0094273,
RBN2028,220,Class,Win10(x64) Version 1709 (OS Build 16299.371) 1803 image started ~12:15 11/05/2018,HP EliteDesk 800G1 SFF,MXL4340C97,Warranty Expired ,,,Black Only: 23030,CL-RBN2028-HP,,
ARC112,110,Class,Win10(x64) Version 1709 (OS Build 16299.431),HP EliteDesk 800G1 SFF,MXL4340C9Y,Warranty Expired ,,,Black: 23003 White: 023192,CL-ARC112-HP,,
FAC1009,110,Class,Win10(x64) Version 1709 (OS Build 16299.431),HP EliteDesk 800G1 SFF,MXL4340C9C,Warranty Expired ,,,Black: 23007 White: 023196,CL-FAC1009-HP,Last Reimaged: INC0094271,
HPR135,110,Class,Win10(x64) Version 1709 (OS Build 16299.431),HP EliteDesk 800G1 SFF,MXL551117N,End Date: 1/12/2019,5/25/2011,,Black: 24572 White: 025225,CL-HPR135-HP,Last Reimaged: INC0094232,
RBN1039,220,Lab,Win10(x64) Version 1709 (OS Build 16299.547),HP EliteDesk 800G1 SFF,MXL4340CB3,,,,Black Only: 23002,CLHP-RBN1039,Verify,
RBN2032,250,Class,Win10(x64) Version 1709 (OS Build 16299.547),Dell Optiplex 745 (will replace),3RX4XD1,,,,Black: 16907 and White: 016907,CL-RBN2032,,
RBN2046,220,Lab,Win10(x64) Version 1709 (OS Build 16299.547),HP EliteDesk 800G1 SFF,MXL4340C9L,Warranty Expired ,,,Black: 23026 and White: 027076,CL-RBN2046-HP,,
RBN3038,110,Class,Win10(x64) Version 1709 (OS Build 16299.547),HP EliteDesk 800G1 SFF,MXL4340C85,,,,Black only: 23016,CL-RBN3038-HP,,
RBN3039,110,Class,Win10(x64) Version 1709 (OS Build 16299.547),HP EliteDesk 800G1 SFF,MXL4340C8V,,,,Black: 23018 and White: 023145,CL-RBN3039-HP,,
RBN3040,110,Class,Win10(x64) Version 1709 (OS Build 16299.547),HP EliteDesk 800G1 SFF,MXL4340C96,,,,Black: 23019 and White: 023146,CL-RBN3040-HP,,
RBN3041,110,Class,Win10(x64) Version 1709 (OS Build 16299.547),HP EliteDesk 800G1 SFF,MXL4340CB4,,,,Black: 23020 and White: 023147,CL-RBN3041-HP,,
CAS104,110,Class,Win10(x64) Version 1709 (OS Build 16299.547)  ,HP EliteDesk 800G1 SFF,MXL5511179,End Date: 1/12/2019,5/25/2011,,Black: 24586 White: 025236,CL-CAS104-HP,,
FAC2006,110,Class,Win10(x64) Version 1709 (OS Build 16299.547)  ,HP EliteDesk 800G1 SFF,MXL4340C89 ,Warranty Expired ,,, Black: 23047 White: 027332,CL-FAC2006-HP,,
RBN2033,220,Lab,Win10(x64) Version 1709 (OS Build 16299.547) Image Started ~8:45 06/15/2018 stuck at testgen,HP EliteDesk 800G1 SFF,MXL4340C8S,Warranty Expired ,,,Black Only: 23029,CL-RBN2033-HP,,
RBN2035,220,Lab,"Win10(x64) Version 1709 (OS Build 16299.547) Image Started ~8:50 06/15/2018 stuck at testgen, Office activation issue, C2R did not help",HP EliteDesk 800G1 SFF,MXL4340C8X,Warranty Expired ,,,Black Only: 23028,CL-RBN2035-HP,,
HPR275,210,Class,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL605127K,End Date: 2/07/2019,,,Black: 24629 White: 025188,CL-HPR275-HP,Last Reimaged: INC0094283,
LIB422,410,Lab,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4341SVK,Warranty Expired ,,,Black Only: 23397,LIB422-INSTRUCT,,
RBN1035,220,Lab,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C8M,,,,Black Only: 23035,CL-RBN1035-HP,,
RBN2007,110,Class,Win10(x64) Version 1803,HP EliteDesk 800G1 SFF,MXL4340C9H,Warranty Expired ,,,Black Only: 23027,CL-RBN2007-HP,,
