Location,Classification,Model #,UT Tag,Serial Number,Manuf. Date,Purchase Date,Notes,IP Address
ALH108,,,Verify,Verify,,,,
ALH113,,,Verify,Verify,,,,
ARC112,110,NEC NP-PA803UL,White Only: 030150,8900119RR,,,,
ARC114,220,Panasonic PT-VZ575N ,No Inventory #,DC6640296,,,"Verify  Model, Inv. & Serial  #s",
ARC141,220,Epson 4750W,No Inventory #,TL8F450119L,,,,
BEP124,220,Panasonic PT-VZ575N,White Only: 025653,DC6240212,4.2016,,,
BEP125,210,Panasonic PT-VZ575N,No Inventory #,DC6240079,4.2016,,,
BEP128,220,Panasonic PT-VZ575N,No Inventory #,DC6240216,4.2016,,,
BEP129,220,Panasonic PT-VZ575N,White Only: 025652,DC6240031,4.2016,,,
BEP132,220,Panasonic PT-VZ575N,White Only: 025667,DC6240071,4.2016,,,
BEP139,220,Epson 4300,Black: 21654 White: 021654,NRWF280022L,,,,
BEP140,350,NEC NP-P502WL-2 Laser,No Inventory #,7900395RR,42979,,,
BEP142,220,NEC NP-P451W,White Only: 024553,5100019EL,42005,,,
BEP144,210,Epson 4750W,No Inventory #,TL8F370027L,,,,
BEP213,110,Panasonic PT-VZ575N,White Only: 025666,DC6240076,4.2016,,,
BEP215,110,Panasonic PT-VZ575N,No Inventory #,DC7150195,42767,,,
BEP218,110,Panasonic PT-VZ575N,No Inventory #,DC6210196,,,,
BEP250,350,Epson PowerLite G5150 ,Black: 18180 White 018180,KW2F850569L,,,,
BEP256,250,NEC NP-P451W,White Only: 024416,5700127EM,42186,,,
BRB1025,110,NEC P502WL-2,White Only: 025662,DC5540156,10.2015,,,192.168.80.13
BRB1025,110,NEC P502WL-2,White Only: 025663,DC5540029,10.2015,,,192.168.80.12
BRB1030,110,NP-P502WL-2,No Inventory #,8200677TB,Feb.2018,,,192.168.80.16
BRB1030,110,NP-P502WL-2,No Inventory #,8200687TB,Feb.2018,,,192.168.80.17
BRB1055,110,NP-P502WL-2,No Inventory #,8100452TB ,Jan-18,,,192.168.80.20
BRB1055,110,NP-P502WL-2,No Inventory #,8100437TB ,Jan-18,,,192.168.80.21
BRB1145,350,Sharp LC-65D64U,No Inventory #,807859634,,,TV,
BRB2405,210,Panasonic PT-VZ575N,No Inventory #,DC6240211,4.2016,,,
BRB2410,210,Panasonic PT-VZ575N,White Only: 027891,DC6240341,4.2016,,,
BRB2435,220,Panasonic PT-VZ575N,White Only: 027890,DC6240334,4.2016,,,
BRB2440,210,Panasonic PT-VZ575N,No Inventory #,DC6240246,4.2016,,,
BRB2490,220,Smart UX80,No Inventory #,B012FE10M0101,,,Verify  Inv. & Serial  #s,
BRN 1145,,,No Inventory #,,,,,
BRB2495,220,Smart UX80,Verify,Verify S/N,,,Verify  Inv. & Serial  #s,
CAS104,110,Epson 4750W,White Only: 024040 (Verify),TL8F470253L (Verify),,,,
CAS106,110,,Verify,Verify,,,,
CAS158,110,Epson 4300,Black: 21651 White: 021651,Verify S/N,,,Projector is  mounted high,
CAS208,110,Epson 4300,Black: 21654 White: 021654,NRWF280022L,,,,
CAS210,110,Panasonic PT-VZ575N,White Only: 024589,DC6210113,,,,
CAS212,110,Panasonic PT-VZ575N,No Inventory #,DC6240201,,,,
CAS257,110,Panasonic PT-VZ575N,No Inventory #,DC6240214,4.2016,,,
CAS258,110,,Verify,Verify,,,,
CAS259,110,,Verify,Verify,,,,
CAS260,110,,Verify,Verify,,,,
COB103,60,NEC NP-PA803UL,No Inventory #,8300092RK,,,,
COB103,60,NEC NP-PA803UL,No Inventory #,8300039RK,,,,
COB111,60,NEC NP-PA803UL,No Inventory #,8300040RK,,,,
COB111,60,NEC NP-PA803UL,No Inventory #,8300038RK,,,,
COB112,60,NEC NP-PA803UL,No Inventory #,8300093RK,,,,
