Location,Lamp Hrs,Lamp Hours(2),Projector Type,Filter Hrs,Lamp Status,Last Checked,Prev. Inc.,Model: Control | TP,IP: Control | TP  ,FW: Control | TP,AMX IP,Last Checked,Notes
ALH108,,,Verify,,,,,PRO3,10.20.18.12,,,10/8/2018,
ALH113,,,Verify,,,,,PRO3,10.20.18.12,,,5/18/2018,
ARC112,268,N/A,NEC NP-PA803UL,Self Cleaning,GOOD,6/4/2019,INC0123807,DMPS3-4K-100-C | TSW-760,192.168.80.148,1.502.3205.17254 (Oct 11 2017),,5/18/2018,"System- 
Components: Crestron TSW-760-TTK-B-S Touchpanel(6507727) and DMPS3-4K-100-C(Inv. #: None)(P/N: 6507978)(S/N: 15631805)(Mfg. Date: JUN-16), QSC Amp(Model: ISA300Ti)(Inv. #: None)(S/N: 110928247), Cisco Managed Switch(Inv. #: None)(Model: Catalyst 3560-CG)(S/N: FOC1725Y27T), Elmo TT-12 Document Camera(Inv. #s: Black: 21413 and Black: 21056 )(S/N: 1207625), Logitech Webcam, Shure SLX1 Wireless Mic Transmitter and SLX4 Receiver | Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam |"
ARC114,3250,N/A,Panasonic PT-VZ575N,Self Cleaning,GOOD,6/4/2019,INC0123824,DMPS3-4K-100-C | AMX NXD-500I,,,192.168.80.150,5/18/2018,"System- 
Components: 
Crestron- 
? TSW-560-TTK-B-S (6507727) Touchpanel 
? DMPS3-4K-100-C (Inv. #: None)(S/N: 1810JBH07030) 
Cisco Catalyst 3560-CX Series Switch(Inv. #: None)(S/N: FOC1729Y02Z)(Mfg. Date: 20130715), ELMO TT-12 Document Camera(Inv. #: Black: 21057 and Black: 21412)(S/N: 1207639), Logitech Webcam| Sources: Computer, Laptop VGA, Laptop HDMI, Doc Cam | "
ARC141,108,N/A,Epson 4750W,0,GOOD,6/4/2019,INC0123842,AMX Wallplate,,,192.168.80.132,,"System- 
Components: AMX Wallplate | "
BEP124,2459,N/A,Panasonic PT-VZ575N,269,GOOD,5/13/2019,"INC0105438
",N/A,,,,,"System- 
Components: Wallplate | Sources: Computer, HDMI Cable | "
BEP125,923,N/A,Panasonic PT-VZ575N,789,GOOD,5/13/2019,"INC0105397
",N/A,,,,5/18/2018,"System- 
Components: Crestron wallplate, Projector remote | Sources: HDMI+VGA Cable | "
BEP128,4648,N/A,Panasonic PT-VZ575N,150,GOOD,5/13/2019,INC0105399,N/A,,,,,"System- 
Components: Crestron HD-RX-201-C-E (S/N: L17530560) wallplate, Projector remote | Sources: HDMI+VGA Cable | "
BEP129,847,N/A,Panasonic PT-VZ575N,902,GOOD,5/13/2019,INC0105401,N/A,,,,,"System- 
Components: Crestron HD-RX-201-C-E (S/N: L17530555) wallplate, Projector remote | Sources: HDMI+VGA Cable | "
BEP132,3535,N/A,Panasonic PT-VZ575N,956,GOOD,5/13/2019,INC0097327,N/A,,,,,"System- 
Components: Crestron Wallplate, Projector remote | Sources: VGA W Audio and HDMI cables | "
